x,y,R,G,B
160,1,15,18,95
161,1,15,19,93
162,1,14,18,92
163,1,14,18,91
164,1,13,17,90
165,1,13,17,88
166,1,13,17,88
167,1,13,18,86
168,1,11,16,84
169,1,11,16,82
170,1,11,16,80
171,1,11,17,79
172,1,10,16,78
173,1,10,16,76
174,1,9,15,75
175,1,9,15,73
176,1,10,15,70
177,1,10,16,68
178,1,10,16,68
179,1,9,15,67
180,1,9,15,67
181,1,8,14,66
182,1,8,14,66
0,2,8,14,66
1,2,8,14,66
2,2,8,14,66
3,2,8,14,66
4,2,9,14,69
5,2,9,14,69
6,2,10,15,71
7,2,10,15,73
8,2,11,15,76
9,2,11,15,76
10,2,11,15,78
11,2,12,16,79
12,2,12,16,80
13,2,13,17,81
14,2,13,16,83
15,2,13,16,85
16,2,13,17,90
17,2,13,17,91
18,2,14,17,94
19,2,14,17,94
20,2,13,19,97
21,2,13,19,97
22,2,13,18,99
23,2,13,18,99
24,2,14,21,102
25,2,15,21,105
26,2,14,22,107
27,2,14,22,107
28,2,15,22,110
29,2,15,22,110
30,2,13,23,110
31,2,13,23,110
32,2,14,24,113
33,2,14,23,114
34,2,14,23,116
35,2,14,23,116
36,2,15,24,117
37,2,15,24,117
38,2,16,25,120
39,2,16,25,120
40,2,15,24,119
41,2,15,24,119
42,2,16,24,122
43,2,16,24,122
44,2,16,24,123
45,2,17,25,124
46,2,17,25,124
47,2,17,25,124
48,2,16,26,124
49,2,14,26,124
50,2,14,26,124
51,2,15,27,125
52,2,15,27,127
53,2,16,28,128
54,2,16,28,128
55,2,16,28,130
56,2,17,29,131
57,2,17,29,131
58,2,17,28,133
59,2,17,28,133
60,2,17,28,133
61,2,17,28,133
62,2,17,28,134
63,2,17,28,134
64,2,17,29,139
65,2,17,29,141
66,2,17,29,141
67,2,17,29,141
68,2,17,29,141
69,2,17,29,141
70,2,17,29,141
71,2,17,29,141
72,2,17,29,141
73,2,17,29,141
74,2,17,29,141
75,2,17,29,141
76,2,17,29,141
77,2,17,29,141
78,2,17,29,141
79,2,17,29,141
80,2,19,30,145
81,2,19,30,146
82,2,19,30,146
83,2,19,30,146
84,2,19,30,146
85,2,19,30,146
86,2,19,30,146
87,2,19,30,146
88,2,17,28,144
89,2,17,28,144
90,2,17,28,144
91,2,17,28,144
92,2,17,28,144
93,2,17,28,144
94,2,17,28,144
95,2,17,28,143
96,2,17,27,140
97,2,17,27,138
98,2,17,27,138
99,2,17,27,138
100,2,17,27,138
101,2,17,28,136
102,2,17,28,136
103,2,17,28,134
104,2,16,27,133
105,2,16,27,133
106,2,16,27,133
107,2,16,27,132
108,2,16,27,132
109,2,16,27,132
110,2,16,27,132
111,2,16,28,130
112,2,15,27,129
113,2,15,27,129
